Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/07  20:00:00,2.69087506188,7.16725456809,0.0,7.1225158939,0.0,0.173698381177,0.173698381177,0.173698381177,0.74382696442,0.160240091303,0.315239230802,0.649523308363,0.631703085811
 02/07  21:00:00,2.56661770265,7.6171253589,0.0,7.57084862866,0.0,0.184719374822,0.184719374822,0.184719374822,0.693111422582,0.149314618441,0.275771399459,0.671853054836,0.575203832508
 02/07  22:00:00,2.32799024881,7.91153174319,0.0,7.86633540354,0.0,0.191959492295,0.191959492295,0.191959492295,0.574775370734,0.123821877033,0.258240654531,0.656167769509,0.506381084712
 02/07  23:00:00,1.90203099485,8.02837708251,0.0,7.98926544263,0.0,0.194835995433,0.194835995433,0.194835995433,0.428264026716,0.0922594475479,0.205783602099,0.567829113952,0.396414809101
 02/07  24:00:00,1.4862846108,8.22958471075,0.0,8.19559742346,0.0,0.199867859397,0.199867859397,0.199867859397,0.298657810201,0.0643388309091,0.135829802162,0.493432934242,0.277513373888
 02/08  01:00:00,1.05266691218,8.44199150286,0.0,8.4138788394,0.0,0.205191136895,0.205191136895,0.205191136895,0.152146386518,0.0327763842622,0.0862813993051,0.408144195277,0.151483409919
 02/08  02:00:00,0.876218497701,8.55175088655,0.0,8.52586652869,0.0,0.207922205611,0.207922205611,0.207922205611,0.090160839344,0.0194230361695,0.07215281313,0.37579329429,0.0941223091558
 02/08  03:00:00,0.814046932871,8.73960325055,0.0,8.71401900118,0.0,0.212510721857,0.212510721857,0.212510721857,0.0619855790406,0.0133533395118,0.0596311906089,0.371436270588,0.0784858312648
 02/08  04:00:00,0.812889410044,9.01307968133,0.0,8.98785556216,0.0,0.219188835048,0.219188835048,0.219188835048,0.0619855790406,0.0133533395118,0.0525294584498,0.366207842146,0.0829803558474
 02/08  05:00:00,0.858662934969,9.14794231555,0.0,9.12367104085,0.0,0.222500997371,0.222500997371,0.222500997371,0.0619855790406,0.0133533395118,0.06307140009,0.352374291893,0.128733327063
 02/08  06:00:00,1.12232432651,9.27124413034,0.0,9.24415933848,0.0,0.225439372316,0.225439372316,0.225439372316,0.0676206374745,0.0145672805595,0.0759011793751,0.393221389098,0.328930467688
 02/08  07:00:00,1.70736052858,10.1383090559,0.0,10.1070152424,0.0,0.246482031389,0.246482031389,0.246482031389,0.129606216515,0.0279206166389,0.129674584873,0.454328646517,0.702704432643
 02/08  08:00:00,2.0696161313,9.34211981379,0.0,9.30886779233,0.0,0.22701743179,0.22701743179,0.22701743179,0.25921243303,0.0558412332777,0.207318086672,0.482758226172,0.805824720357
 02/08  09:00:00,1.96470899883,8.703184913,0.0,8.67507224954,0.0,0.211560918752,0.211560918752,0.211560918752,0.231037140861,0.049771545201,0.268600928953,0.408144195277,0.778950269788
 02/08  10:00:00,1.71862249079,7.85076294854,0.0,7.82683679862,0.0,0.190874811921,0.190874811921,0.190874811921,0.112701089013,0.0242788037928,0.329942516084,0.347363714635,0.696817555339
 02/08  11:00:00,1.63640615906,8.62390688292,0.0,8.59941802956,0.0,0.210384781617,0.210384781617,0.210384781617,0.090160839344,0.0194230361695,0.344788777527,0.355533134076,0.599471590326
 02/08  12:00:00,1.51558464527,6.59051069352,0.0,6.56601433746,0.0,0.160227989176,0.160227989176,0.160227989176,0.090160839344,0.0194230361695,0.361031883506,0.355642059669,0.512454837408
